layer_name,mean_identity_separation,mean_identity_auc,best_identity_separation,best_identity_auc,prompt_instability,timestep_instability,layer_rank_score,num_conditions
vae_image_latent,0.01627534399962141,0.5623280423280423,0.01627534399962141,0.5623280423280423,0.0,0.0,0.5786033863276637,8
unet.conv_in,0.01242461935715583,0.547607289829512,0.01260938111929194,0.5478894767783656,0.0,0.00021037418242868272,0.5598215350042393,8
unet.up_blocks.0,0.00020040133327403392,0.5578350970017637,0.0006316010914151626,0.567854203409759,2.8345540717795978e-05,0.00018043079660239695,0.5578267219977175,8
unet.up_blocks.1.attentions.1.transformer_blocks.0,0.00011233473738665303,0.550055849500294,0.0003168318637464412,0.5529570840681952,5.516275842353746e-06,0.00010562080193337055,0.550057047159905,8
unet.mid_block,0.00016764940881224523,0.5495002939447384,0.000493391039510252,0.5601881246325691,3.1481265390991226e-06,0.00017928325299808345,0.5494855119740134,8
unet.down_blocks.0.attentions.1.transformer_blocks.0.ff.net.1,5.116390961187858e-05,0.5482686654908877,8.612000753009143e-05,0.5504291593180483,1.6979360706591848e-06,2.8376800020416027e-05,0.5482897546644085,8
unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,7.302144532481201e-06,0.5473941798941799,2.8762930915469216e-05,0.554074074074074,3.663083863636786e-07,1.1275956426143028e-05,0.5473898397738999,8
unet.down_blocks.3,0.00011160702459395884,0.5441255144032922,0.0002808355149768651,0.549159318048207,2.094306958415511e-06,9.2666173527273e-05,0.5441423609474004,8
unet.up_blocks.1.attentions.0.transformer_blocks.0.norm2,0.00011087700172706888,0.5440696649029981,0.0002805873830482443,0.5490064667842446,4.254589005122105e-06,8.843120672090295e-05,0.5440878561089992,8
unet.up_blocks.3.attentions.2.transformer_blocks.0.norm3,6.503026794504237e-05,0.5438124632569077,0.00017495577928250405,0.5461728395061728,1.738705332317769e-07,6.543025227806084e-05,0.5438118894020415,8
unet.up_blocks.3,0.0001697288776831653,0.5428615520282187,0.00023493861395215265,0.5443974132863022,3.9831040397593845e-08,4.026502019877331e-05,0.5429909760546627,8
unet.down_blocks.2,0.00010500492715330975,0.5424794238683127,0.0002451642480476822,0.5447148736037625,1.001318611165228e-06,7.804078139957947e-05,0.5425053866954552,8
unet.down_blocks.2.attentions.1.transformer_blocks.0.ff,9.272335856049149e-05,0.5424397413286303,0.0002493143081665041,0.5485008818342152,1.1631184154086997e-06,9.087179742511118e-05,0.5424404297713503,8
unet.down_blocks.1.attentions.1.transformer_blocks.0.ff.net.0,3.45083377348683e-05,0.5419415049970606,7.152242004556005e-05,0.5443856554967667,1.230173640780899e-07,2.8932676717437133e-05,0.541946957640714,8
unet.up_blocks.3.attentions.2.transformer_blocks.0.norm1,0.00029319997029329727,0.5417239858906526,0.0004966630506767801,0.5461258083480306,2.367967966372366e-06,0.00016178414654157442,0.541853033746438,8
unet.down_blocks.0,0.00010410977734459775,0.5409538506760729,0.00012739335418378251,0.5445972957084069,2.2225594394420576e-07,1.5069677400613929e-05,0.541042668520073,8
unet.up_blocks.1.attentions.2.transformer_blocks.0.ff.net.2,4.256813141404007e-05,0.5404673721340387,0.00010280091926534343,0.5462433862433862,1.4696565885392544e-06,3.215608551419142e-05,0.54047631452335,8
unet.up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_out.0,4.6962791334384314e-05,0.5393474426807761,0.00010268334989194496,0.5414462081128748,1.6910846901943593e-07,3.2065930849648134e-05,0.5393621704327918,8
unet.down_blocks.2.attentions.1.transformer_blocks.0.attn1,0.00010546503401307203,0.5390828924162258,0.0002512881995508911,0.5489829512051734,1.3801234739798236e-06,8.372561227273613e-05,0.5391032517144921,8
unet.up_blocks.1,6.433156116929633e-05,0.5384420928865373,0.00013608970339336075,0.539047619047619,6.887332472220724e-07,3.985263277228879e-05,0.5384658830816871,8
unet.up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_q,3.8213759818405075e-05,0.5367871840094063,0.00010615795377701045,0.5390241034685479,1.3205503660535099e-06,3.7020627229663846e-05,0.536787056591629,8
unet.up_blocks.2,5.897935578432032e-05,0.5366196355085244,9.573187146868036e-05,0.537989417989418,3.2390709276555545e-07,2.0249613603633556e-05,0.5366580413436124,8
unet.down_blocks.1,7.413853570897746e-05,0.5363653733098178,0.00013002245514481163,0.537554379776602,3.6504691240020763e-07,3.219828101562686e-05,0.5364069485175987,8
unet.up_blocks.2.attentions.1.transformer_blocks.0.ff.net.0.proj,6.437731325311003e-05,0.5357260435038214,0.0001405821275458764,0.5378835978835979,1.1009750542817406e-06,4.667829593990403e-05,0.5357426415460804,8
unet.down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,0.00010367537301684185,0.5354644326866549,0.0001873228915784727,0.5374720752498531,6.314938661282647e-07,4.911492882360728e-05,0.535518361636982,8
unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.1,1.5630308913175382e-05,0.5335861258083481,7.776968062870085e-05,0.5482774838330394,4.346629299184008e-06,2.455725118060693e-05,0.5335728522367815,8
unet.up_blocks.3.attentions.1.transformer_blocks.0.attn2,4.740414165315169e-06,0.5319238683127572,1.3771763554325765e-05,0.5386948853615521,1.8922109452572656e-09,5.249923208421906e-06,0.5319233569115032,8
unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_q,4.6743081991003975e-05,0.5306701940035273,9.861087042187895e-05,0.53450911228689,6.981154598256051e-07,3.0318736994621615e-05,0.5306859202330639,8
unet.up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_v,0.00013338470900500264,0.5296237507348619,0.0002511114039749065,0.5312286890064668,4.4465380370927615e-07,7.00944491177734e-05,0.5296865963409455,8
unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,0.0,0.5,0.0,0.5,0.0,0.0,0.5,8
unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_k,0.0,0.5,0.0,0.5,0.0,0.0,0.5,8
