validity,layer_name,prompt,image_id,initial_Z,final_Z,Z_increase,input_ssim,input_psnr,input_l2,output_ssim,output_l2,max_disp_px,p95_disp_px,foldover,fraction_clamped,run_dir
invalid_input_destroyed,unet.conv_in,add black sunglasses,barack_obama_01,0.001661062240600586,0.33086323738098145,0.32920217514038086,0.049726929515600204,9.650042620543879,0.32922884821891785,-0.00420529767870903,0.2941525876522064,8.000000953674316,7.999999046325684,0.0,0.02147239263803681,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_conv_in/add_black_sunglasses/barack_obama_01
invalid_input_destroyed,unet.conv_in,add headphones,barack_obama_01,0.001661062240600586,0.33080971240997314,0.32914865016937256,0.016098788008093834,9.578904560097609,0.3319363296031952,-0.05994291231036186,0.322563111782074,8.000000953674316,8.0,0.0,0.027607361963190184,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_conv_in/add_headphones/barack_obama_01
invalid_input_destroyed,unet.conv_in,add headphones,kamala_harris_01,0.002081632614135742,0.304021418094635,0.30193978548049927,0.012063074856996536,8.619506251888339,0.37070178985595703,-0.025638815015554428,0.3716315031051636,8.000000953674316,8.0,0.0,0.027607361963190184,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_conv_in/add_headphones/kamala_harris_01
invalid_input_destroyed,unet.conv_in,add black sunglasses,kamala_harris_01,0.002081632614135742,0.3027530312538147,0.30067139863967896,0.08557616174221039,8.80927008338835,0.3626907765865326,-0.016400784254074097,0.3345881402492523,8.000000953674316,7.646046161651611,0.0,0.009202453987730062,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_conv_in/add_black_sunglasses/kamala_harris_01
invalid_input_destroyed,unet.conv_in,add headphones,joe_biden_01,0.0010647773742675781,0.22061681747436523,0.21955204010009766,0.09113666415214539,11.014453028640789,0.28136971592903137,0.10678423941135406,0.27658745646476746,8.000000953674316,8.0,0.0010528564453125,0.0950920245398773,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_conv_in/add_headphones/joe_biden_01
invalid_input_destroyed,unet.conv_in,add black sunglasses,joe_biden_01,0.0010647773742675781,0.21737372875213623,0.21630895137786865,0.09514562785625458,11.121323620360997,0.2779289782047272,-0.32141536474227905,0.31603890657424927,8.000000953674316,8.0,0.0,0.08895705521472393,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_conv_in/add_black_sunglasses/joe_biden_01
invalid_fft_saturated,vae_image_latent,add headphones,joe_biden_01,0.0007062554359436035,0.01198512315750122,0.011278867721557617,0.8164190649986267,17.66813835622885,0.13079558312892914,0.8004559874534607,0.1431819349527359,7.956930160522461,6.940165042877197,0.0,0.003067484662576687,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/vae_image_latent/add_headphones/joe_biden_01
valid_or_visually_check,vae_image_latent,add black sunglasses,joe_biden_01,0.0007062554359436035,0.0010579824447631836,0.0003517270088195801,0.9673604965209961,24.679359739855144,0.05834881216287613,0.9733049273490906,0.0555281788110733,3.963646173477173,2.4836373329162598,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/vae_image_latent/add_black_sunglasses/joe_biden_01
valid_or_visually_check,vae_image_latent,add black sunglasses,barack_obama_01,0.0007369518280029297,0.0007943511009216309,5.739927291870117e-05,0.9547019004821777,22.919818330281547,0.07145112752914429,0.9485459327697754,0.08118969947099686,2.308474063873291,1.9236024618148804,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/vae_image_latent/add_black_sunglasses/barack_obama_01
valid_or_visually_check,vae_image_latent,add headphones,barack_obama_01,0.0007369518280029297,0.0007940530776977539,5.710124969482422e-05,0.954701840877533,22.919817538024276,0.07145113497972488,0.9066387414932251,0.1059267669916153,2.308474063873291,1.9236024618148804,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/vae_image_latent/add_headphones/barack_obama_01
valid_or_visually_check,unet.conv_in,add black sunglasses,michelle_obama_01,0.0009132623672485352,0.0009132623672485352,0.0,0.9776192903518677,29.48921565198689,0.03353815898299217,0.9809192419052124,0.03835082799196243,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_conv_in/add_black_sunglasses/michelle_obama_01
valid_or_visually_check,unet.conv_in,add headphones,michelle_obama_01,0.0009132623672485352,0.0009132623672485352,0.0,0.9776192903518677,29.48921565198689,0.03353815898299217,0.968079686164856,0.04260183870792389,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_conv_in/add_headphones/michelle_obama_01
valid_or_visually_check,unet.mid_block,add black sunglasses,barack_obama_01,1.4722347259521484e-05,1.4722347259521484e-05,0.0,0.9768469333648682,26.070517277590582,0.04971347749233246,0.9748872518539429,0.05552412196993828,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_mid_block/add_black_sunglasses/barack_obama_01
valid_or_visually_check,unet.mid_block,add black sunglasses,joe_biden_01,1.52587890625e-05,1.52587890625e-05,0.0,0.9819402098655701,27.17242916892583,0.043790362775325775,0.9781268835067749,0.04986518993973732,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_mid_block/add_black_sunglasses/joe_biden_01
valid_or_visually_check,unet.mid_block,add black sunglasses,kamala_harris_01,1.9609928131103516e-05,1.9609928131103516e-05,0.0,0.984429121017456,26.71704827569565,0.046147435903549194,0.9858542680740356,0.04714997857809067,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_mid_block/add_black_sunglasses/kamala_harris_01
valid_or_visually_check,unet.mid_block,add black sunglasses,michelle_obama_01,1.1563301086425781e-05,1.1563301086425781e-05,0.0,0.9776192903518677,29.48921565198689,0.03353815898299217,0.9809192419052124,0.03835082799196243,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_mid_block/add_black_sunglasses/michelle_obama_01
valid_or_visually_check,unet.mid_block,add headphones,barack_obama_01,1.4781951904296875e-05,1.4781951904296875e-05,0.0,0.9768469333648682,26.070517277590582,0.04971347749233246,0.9311380386352539,0.0911373719573021,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_mid_block/add_headphones/barack_obama_01
valid_or_visually_check,unet.mid_block,add headphones,joe_biden_01,1.531839370727539e-05,1.531839370727539e-05,0.0,0.9819402098655701,27.17242916892583,0.043790362775325775,0.9622058868408203,0.06642299145460129,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_mid_block/add_headphones/joe_biden_01
valid_or_visually_check,unet.mid_block,add headphones,kamala_harris_01,2.0325183868408203e-05,2.0325183868408203e-05,0.0,0.984429121017456,26.71704827569565,0.046147435903549194,0.981278121471405,0.05175378546118736,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_mid_block/add_headphones/kamala_harris_01
valid_or_visually_check,unet.mid_block,add headphones,michelle_obama_01,1.1563301086425781e-05,1.1563301086425781e-05,0.0,0.9776192903518677,29.48921565198689,0.03353815898299217,0.968079686164856,0.04260183870792389,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_mid_block/add_headphones/michelle_obama_01
valid_or_visually_check,unet.up_blocks.0,add black sunglasses,barack_obama_01,1.9788742065429688e-05,1.9788742065429688e-05,0.0,0.9768469333648682,26.070517277590582,0.04971347749233246,0.9748872518539429,0.05552412196993828,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_up_blocks_0/add_black_sunglasses/barack_obama_01
valid_or_visually_check,unet.up_blocks.0,add black sunglasses,joe_biden_01,2.658367156982422e-05,2.658367156982422e-05,0.0,0.9819402098655701,27.17242916892583,0.043790362775325775,0.9781268835067749,0.04986518993973732,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_up_blocks_0/add_black_sunglasses/joe_biden_01
valid_or_visually_check,unet.up_blocks.0,add black sunglasses,kamala_harris_01,2.8431415557861328e-05,2.8431415557861328e-05,0.0,0.984429121017456,26.71704827569565,0.046147435903549194,0.9858542680740356,0.04714997857809067,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_up_blocks_0/add_black_sunglasses/kamala_harris_01
valid_or_visually_check,unet.up_blocks.0,add black sunglasses,michelle_obama_01,1.4960765838623047e-05,1.4960765838623047e-05,0.0,0.9776192903518677,29.48921565198689,0.03353815898299217,0.9809192419052124,0.03835082799196243,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_up_blocks_0/add_black_sunglasses/michelle_obama_01
valid_or_visually_check,unet.up_blocks.0,add headphones,barack_obama_01,1.8656253814697266e-05,1.8656253814697266e-05,0.0,0.9768469333648682,26.070517277590582,0.04971347749233246,0.9311380386352539,0.0911373719573021,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_up_blocks_0/add_headphones/barack_obama_01
valid_or_visually_check,unet.up_blocks.0,add headphones,joe_biden_01,2.6047229766845703e-05,2.6047229766845703e-05,0.0,0.9819402098655701,27.17242916892583,0.043790362775325775,0.9622058868408203,0.06642299145460129,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_up_blocks_0/add_headphones/joe_biden_01
valid_or_visually_check,unet.up_blocks.0,add headphones,kamala_harris_01,2.9981136322021484e-05,2.9981136322021484e-05,0.0,0.984429121017456,26.71704827569565,0.046147435903549194,0.981278121471405,0.05175378546118736,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_up_blocks_0/add_headphones/kamala_harris_01
valid_or_visually_check,unet.up_blocks.0,add headphones,michelle_obama_01,1.4185905456542969e-05,1.4185905456542969e-05,0.0,0.9776192903518677,29.48921565198689,0.03353815898299217,0.968079686164856,0.04260183870792389,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/unet_up_blocks_0/add_headphones/michelle_obama_01
valid_or_visually_check,vae_image_latent,add black sunglasses,kamala_harris_01,0.0009254813194274902,0.0009254813194274902,0.0,0.984429121017456,26.71704827569565,0.046147435903549194,0.9858542680740356,0.04714997857809067,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/vae_image_latent/add_black_sunglasses/kamala_harris_01
valid_or_visually_check,vae_image_latent,add black sunglasses,michelle_obama_01,0.000502467155456543,0.000502467155456543,0.0,0.9776192903518677,29.48921565198689,0.03353815898299217,0.9809192419052124,0.03835082799196243,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/vae_image_latent/add_black_sunglasses/michelle_obama_01
valid_or_visually_check,vae_image_latent,add headphones,kamala_harris_01,0.0009254813194274902,0.0009254813194274902,0.0,0.984429121017456,26.71704827569565,0.046147435903549194,0.981278121471405,0.05175378546118736,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/vae_image_latent/add_headphones/kamala_harris_01
valid_or_visually_check,vae_image_latent,add headphones,michelle_obama_01,0.000502467155456543,0.000502467155456543,0.0,0.9776192903518677,29.48921565198689,0.03353815898299217,0.968079686164856,0.04260183870792389,1.9212477207183838,1.674102783203125,0.0,0.0,C:/Users/parth/Desktop/experiment/layer/identity_layers/outputs/stage_b_broad_400/runs/vae_image_latent/add_headphones/michelle_obama_01
